cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgwYu88bsq4AHCL6iY94AaABAg.A1xcI9ygapqA1xjLlml_gv," @juansotelo8621  La verdad todos son un chiste, y nosotros no les importamos en lo más mínimo.",3 months ago,@MasterAttitude96,UCVxd4KKGz-Q4KjAvXUeblyQ,2,,https://yt3.ggpht.com/bxExttWQphbcq7a2qn1cazoSosdPyhAUgWSUkn6eT6-ToLgS1O8C-TytkGN8W3hPgWlOaoF5=s88-c-k-c0x00ffffff-no-rj,False,True,1713301708.593571
UgwYu88bsq4AHCL6iY94AaABAg.A1xcI9ygapqA1xyGegRq95,Supongo tú estás más preparado que Claudia verdad? Postúlate a ver si tú sí la armas en un debate.,3 months ago,@Gabriel-up6rh,UC5uYTjgKG5dZpoxD-DvpN8g,1,,https://yt3.ggpht.com/ytc/AIdro_l_eNDk4AvNda_X7OPDcl2qDclBdATCJ_T0BC9uS7M=s88-c-k-c0x00ffffff-no-rj,False,True,1713301708.614067
UgwYu88bsq4AHCL6iY94AaABAg.A1xcI9ygapqA1xycnduBqj, @Gabriel-up6rh  Otro justiciero más 🤣,3 months ago,@MasterAttitude96,UCVxd4KKGz-Q4KjAvXUeblyQ,0,,https://yt3.ggpht.com/bxExttWQphbcq7a2qn1cazoSosdPyhAUgWSUkn6eT6-ToLgS1O8C-TytkGN8W3hPgWlOaoF5=s88-c-k-c0x00ffffff-no-rj,False,True,1713301708.615953
UgwYu88bsq4AHCL6iY94AaABAg.A1xcI9ygapqA1xznTjkceh,Yo creo que el real voto de castigo para los políticos es anular todos los votos. Eso si sería decir no estoy de acuerdo ni contenta,3 months ago,@resiyago,UCYWEDvsJQdlFDmCB_MpNwrw,0,,https://yt3.ggpht.com/ytc/AIdro_m2b42HI6kle7426zna-QRTltYaVA3ZQAe7AUNAjR3P5AIZ=s88-c-k-c0x00ffffff-no-rj,False,True,1713301708.62184
UgwYu88bsq4AHCL6iY94AaABAg.A1xcI9ygapqA1y-hbX_Tt3," @MasterAttitude96  yo ni siquiera soy fan de nadie y ni me gusta la política, lo que sí da coraje es ver a tanta gente comentando tonterías como si fuera tan fácil estar ahí parado, yo veo que la doctora Claudia tiene con qué para defenderse como presidente y a ti no te veo proponiendo y siendo una mejor opción. Y si no te gusta ninguno de ellos, dinos qué esperas de un presidente entonces?",3 months ago,@Gabriel-up6rh,UC5uYTjgKG5dZpoxD-DvpN8g,0,,https://yt3.ggpht.com/ytc/AIdro_l_eNDk4AvNda_X7OPDcl2qDclBdATCJ_T0BC9uS7M=s88-c-k-c0x00ffffff-no-rj,False,True,1713301708.623551
UgwYu88bsq4AHCL6iY94AaABAg.A1xcI9ygapqA1y3shh9pqA," @Gabriel-up6rh  Nada, después de todo la política es para el político de turno y su gremio.",3 months ago,@MasterAttitude96,UCVxd4KKGz-Q4KjAvXUeblyQ,0,,https://yt3.ggpht.com/bxExttWQphbcq7a2qn1cazoSosdPyhAUgWSUkn6eT6-ToLgS1O8C-TytkGN8W3hPgWlOaoF5=s88-c-k-c0x00ffffff-no-rj,False,True,1713301708.625266
UgyEFwiEIPu_oQFi_EV4AaABAg.A1xd9kPsDwTA1xdpu8t2ha,Bot,3 months ago,@joseemiliano5099,UClHfFRzXJtoWKhJizIyqMTQ,0,,https://yt3.ggpht.com/ytc/AIdro_nUsL31M2c1nLaZcDc-AMmnFBsD8byCNKnShSC2NRVCwQ=s88-c-k-c0x00ffffff-no-rj,False,True,1713301708.810719
Ugy1OirIGeCYOjnwOiV4AaABAg.A1xcHQ6_FXUA1xcNhuB4_H,Cállate we,3 months ago,@cancholagarciapaulina5726,UC2uAtVyNI4pkFoWsnlFFlVg,2,,https://yt3.ggpht.com/ytc/AIdro_mO6KybylZ1OthEpW0vRuT28tRr27ps2CqZxFkNckahug=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.024317
Ugy1OirIGeCYOjnwOiV4AaABAg.A1xcHQ6_FXUA1xcOcaSPoR,"Ni Claudia ni ninguno, solo son un chiste",3 months ago,@MasterAttitude96,UCVxd4KKGz-Q4KjAvXUeblyQ,1,,https://yt3.ggpht.com/bxExttWQphbcq7a2qn1cazoSosdPyhAUgWSUkn6eT6-ToLgS1O8C-TytkGN8W3hPgWlOaoF5=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.025484
Ugy1OirIGeCYOjnwOiV4AaABAg.A1xcHQ6_FXUA1xcOuv3U5e,Deja a mi princesa en paz,3 months ago,@cancholagarciapaulina5726,UC2uAtVyNI4pkFoWsnlFFlVg,0,,https://yt3.ggpht.com/ytc/AIdro_mO6KybylZ1OthEpW0vRuT28tRr27ps2CqZxFkNckahug=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.026566
Ugy1OirIGeCYOjnwOiV4AaABAg.A1xcHQ6_FXUA1xcTjm9GRI,"Es Beit, FUERA EL PRI, FUERA EL PAN… VIVA MORENA… VIVA LÓPEZ OBRADOOOOR",3 months ago,@cancholagarciapaulina5726,UC2uAtVyNI4pkFoWsnlFFlVg,6,,https://yt3.ggpht.com/ytc/AIdro_mO6KybylZ1OthEpW0vRuT28tRr27ps2CqZxFkNckahug=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.027664
Ugy1OirIGeCYOjnwOiV4AaABAg.A1xcHQ6_FXUA1xdDn0WICz,"No solo tenía la bandera al revés, sino su chicloso cerebro.",3 months ago,@-Vitalis-,UC-IX5b6AHDrgMK1upam4UyQ,0,,https://yt3.ggpht.com/JteTYELVQProAWBw_N0xllSIcUKCSWHwNeKOIA1bbq58OJ5gYXYiyJymRtcwvsAxBMz8ZKkFQnM=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.028759
Ugy1OirIGeCYOjnwOiV4AaABAg.A1xcHQ6_FXUA1xdkevYD7Z,Van a votar por 6 años más de narco morena ? 😂😂,3 months ago,@z-iroc9932,UCHe3DT5f_AMctWjxFX-BNkA,0,,https://yt3.ggpht.com/ytc/AIdro_lnaiHxyZoDiuNjVzWZauI2UwZx1YETRIGBNyc5lQQ=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.029844
Ugx6fmZK_jvqpjvllbF4AaABAg.A1xdyFuQgE9A1xesKProTg,"Porque no ha ocupado cargos de importancia, x que de lo contrario no lo dudes ...",3 months ago,@bubblimotita,UCEyGk7qNI7jl7vRdV4wnyag,4,,https://yt3.ggpht.com/dgBLjrOfzEmWlCj3YmGhAkIjQ4bLT_3uugVKdO-9_Iw44CXlCta_tv9LbBHijS7BUu6gem1BAQQ=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.231827
Ugx6fmZK_jvqpjvllbF4AaABAg.A1xdyFuQgE9A1xetmDbkgo,Por que no tiene...,3 months ago,@lizbethgasparchanona8455,UCbgsPBuX1xaEcRt72rqb7HA,2,,https://yt3.ggpht.com/ytc/AIdro_nZhB8D-pmLw0DqfYYSJFmO6XZZYdn3UbwQeS1q0z1D58l2icD3fRIfUNwuWHdj8M2-MA=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.232972
Ugx6fmZK_jvqpjvllbF4AaABAg.A1xdyFuQgE9A1xf9dYtAGo," @bubblimotita  el dio respuesta a todas las preguntas que le hicieron, mientras que las otras dos candidatas se peleaban por quien tuvo mas negligencias",3 months ago,@karimjiver3847,UCLM6vqvBpJ93HvEaZdT0FJA,10,,https://yt3.ggpht.com/ytc/AIdro_lKGsIj2WM4izx6sjDSa-F3-OJs0N-1Ry7_Ab24apNfYg=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.234061
