cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
Ugy1hFAeohC9N6it3xR4AaABAg,"Quiero la siguiente parte, me encanto y la forma de narrar es perfecta hace que sea muy entretenido de escuchar tipo poscast",2 years ago,@filibertoventuracarela2925,UCa4qLzUCSXjZg2XRYoU2Jjg,2,,https://yt3.ggpht.com/ytc/AIdro_kPg8PZAzkV3j_n8EqXhB-qkXiV03mUjEhli1PcTlLjqqk=s88-c-k-c0x00ffffff-no-rj,False,False,1658097658.658601
Ugx0U4FgPFf1VLMcbqd4AaABAg,"Ahora por fin entiendo el ""no me hice rico firmando cheques señor""",3 years ago,@juandavidgalvisdiaz1795,UCY9nrFNm1lNsXvGLq9i7HSw,490,10,https://yt3.ggpht.com/ytc/AIdro_lXPxxsq3h3tyqPS5hlYv6WhaKsrzdrQOj3ZTqNQaA=s88-c-k-c0x00ffffff-no-rj,False,False,1626561658.659454
UgzE3a-SStWQAwPV3zx4AaABAg,"Ya estaba ansioso Nate, espero todo esté bien.",3 years ago,@sebasgovel,UCmzElRe7fyNt-yYhxNUDtjw,334,6,https://yt3.ggpht.com/ytc/AIdro_lAGHpJ-qcuAvGKKSz7dOyaq_Pu9KEcMa7O8TzFJC65PjE=s88-c-k-c0x00ffffff-no-rj,False,False,1626561658.660307
UgxIyqMLC6pXMtX-jFN4AaABAg,La verdad qe me encantó la historia y como la cuentas... Sos un crack nunca cambies... mi anhelo es ser una persona parecida a ti llena de conocimiento y éxito... Gracias por existir me isiste mover sentimientos qe hace mucho no sentía... Gracias...,2 years ago,@jonathanchumascolo7957,UCNepY12OrCexdeTXozPgxXQ,24,,https://yt3.ggpht.com/hOQ7-jQMkOd0icH4oa4XnlMZMk6F53N6D0MIWhYrD1MN_M_UNT7W05Zc3k2X8fVceXe4pnpKGA=s88-c-k-c0x00ffffff-no-rj,True,False,1658097658.661156
UgwnO3--m8Iquff01zV4AaABAg,"La forma que tienes de narrar es impecable, se podría decir que incluso adictiva. Espero esté subida la 2ªparte pronto",3 years ago (edited),@alvaroadan1956,UCiTLQ7UNhobJpjDWX7NOFdw,4,,https://yt3.ggpht.com/ytc/AIdro_k3yfuYuhN8THHBJqH7sKYxjjZSfHhHy4kBvmZIHfc=s88-c-k-c0x00ffffff-no-rj,False,False,1626561658.662043
UgxGQ-bQJafCEswuNyp4AaABAg,"""Continuará...""
NOOOO!!!!! esto está mil veces mejor que Netflix.",3 years ago,@lucianoaibar,UCcCT99IoF2qpPOfJ4UKgC_g,392,4,https://yt3.ggpht.com/ytc/AIdro_nrMhq70VgZ1ruPbHV_gdtKcYivGrf1zOs0pG9ytLPHv84=s88-c-k-c0x00ffffff-no-rj,True,False,1626561658.662911
UgyyJ-qNjx9EkO3S5Ld4AaABAg,"Al fin, ya se te extrañaba Nate 😀
Edit: esta interesante el video",3 years ago (edited),@jhonelromero2838,UCbPn2erOoOPb1tkjOVCEC5Q,74,,https://yt3.ggpht.com/ytc/AIdro_nt3ob_OZuZKCR-2M5m1VwJbJTar2h6MqOn5mQnVv1cDL4=s88-c-k-c0x00ffffff-no-rj,False,False,1626561658.663776
UgwvkMo6-yWE2Pl6TN14AaABAg,"Tus videos siempre se me hacen cortos, lo explicas todo a la perfección y entretenido. Espero con muchas ganas la segunda parte 😎",3 years ago,@GentileV12,UCrBct-BiXvBMjwYlYhTJLwA,2,,https://yt3.ggpht.com/ytc/AIdro_k7dCn4v3dAEGdXM9dNVCA3Z4EN-RFJnVX7C_nX_aBB9N2R=s88-c-k-c0x00ffffff-no-rj,False,False,1626561658.664638
UgyiBXuqv0dgiPaPFbV4AaABAg.9PvYLCbZJjG9PzW_9gngAq,cómprenlo muchachos,2 years ago,@franciscocorleone1723,UCCeqQzSKkTEOsygBw5gFp6w,39,,https://yt3.ggpht.com/ytc/AIdro_m9WJh6dUSnfgPHChvu7k5I5zPXBwK_vzLDBRTCpvT0ky0=s88-c-k-c0x00ffffff-no-rj,False,True,1658097658.840236
UgyiBXuqv0dgiPaPFbV4AaABAg.9PvYLCbZJjG9Q2Fa6Z-LiT," @franciscocorleone1723  proceden a destruirlo todo, mientras Bill Gates se ríe malévolamente",2 years ago,@gepsal209,UCKD5UrENlfInInH6sNMakKw,38,,https://yt3.ggpht.com/ytc/AIdro_kjA6sfde7zcxGrE5hq6gph25u5CCfYI-0ng5FQxne8gKc=s88-c-k-c0x00ffffff-no-rj,False,True,1658097658.841149
UgyiBXuqv0dgiPaPFbV4AaABAg.9PvYLCbZJjG9S4EXSX0kIa,los simpsons refetencia xd,2 years ago,@venomjoe,UCoZ7tQOKMRFgvUg5Lx-o4ig,3,,https://yt3.ggpht.com/ytc/AIdro_lFvefhGTpVUadn18k5nhr-mK-WGtMaPxjHIvC0CNFBAuY=s88-c-k-c0x00ffffff-no-rj,False,True,1658097658.842056
UgwBYciqOxxDiTA31qh4AaABAg.9PnwKMhSwoo9PpHk9GcSlp,@Alejandro Corleone a comparacion de de latam es mil veces mejor,3 years ago (edited),@SuperAk471998,UCJEGlqjsUu03JcwgBEnL_cQ,17,,https://yt3.ggpht.com/ytc/AIdro_na4qSvWxYyA4NYLk_rF5xY3dBc3Mo0Bs8BwesK_WxGw_E=s88-c-k-c0x00ffffff-no-rj,False,True,1626561659.084449
UgwBYciqOxxDiTA31qh4AaABAg.9PnwKMhSwoo9PpdkEpBv2Z,"@Alejandro Corleone tienes que admitirlo nen, Latam no es tan bonito",3 years ago (edited),@mateos107,UCmySLoLCBAb2B3R8zhRWh4g,4,,https://yt3.ggpht.com/ytc/AIdro_kXqdVws4PiwJgwlWDyZ-ynRYbzMDn62xZ9VMbzbuBJcdo=s88-c-k-c0x00ffffff-no-rj,False,True,1626561659.085359
UgwBYciqOxxDiTA31qh4AaABAg.9PnwKMhSwoo9Pq0PdpNv7j, @mateos107  habla por tu pais,3 years ago,@francoaltamirano3905,UCZvmM6Ro4BGFLen6tTu2llw,0,,https://yt3.ggpht.com/ytc/AIdro_lo4UMdX987CkWj-VOj8mtCQSZFOKxlyvREm3V0C1k9nrKK=s88-c-k-c0x00ffffff-no-rj,False,True,1626561659.086252
